"","LATITUDE","LONGITUDE","cost","date"
"1",41.806667438,-87.620996189,2e+05,2016-03-22
"2",41.94525019,-87.655988183,17875,2016-03-22
"3",41.94525019,-87.655988183,17875,2016-03-22
"4",41.914400996,-87.648220588,750000,2016-03-22
"5",41.953108415,-87.731620545,5e+05,2015-11-06
"6",41.922893362,-87.684990173,483600,2016-03-22
"7",41.80520663,-87.723651783,17875,2016-03-22
"8",41.935839016,-87.676607359,17875,2016-03-22
"9",41.796827748,-87.662082714,17875,2016-03-22
"10",41.767853498,-87.662831201,17875,2016-03-22
"11",41.796601693,-87.662076617,17875,2016-03-22
"12",41.794553068,-87.662317317,17875,2016-03-22
"13",41.902311916,-87.628497381,20000,2016-03-22
"14",41.785368119,-87.668147542,17875,2016-03-22
"15",41.781419897,-87.670177267,17875,2016-03-22
"16",41.900095125,-87.695976303,491100,2016-03-22
"17",41.949112127,-87.656954796,10000,2016-03-22
"18",41.970210731,-87.688811596,17875,2016-03-23
"19",41.949617574,-87.663022537,17875,2016-03-23
"20",41.722419444,-87.570471906,137200,2016-03-23
"21",41.754871852,-87.741392427,8e+05,2016-03-23
"22",41.92757344,-87.681338839,5600000,2016-03-23
"23",41.914935877,-87.690664316,220000,2016-03-23
"24",41.807441243,-87.748566779,17875,2016-03-23
"25",41.874583513,-87.656685988,15000,2016-03-23
"26",41.852997833,-87.622194479,1.5e+08,2016-03-23
"27",41.943596146,-87.704652766,5e+05,2006-02-08
"28",41.941191195,-87.647907746,7e+05,2016-03-24
"29",41.810458275,-87.612840917,250000,NA
"30",41.872707176,-87.625810425,50000,2016-03-24
"31",41.950415221,-87.666376784,450000,2016-03-24
"32",41.941301451,-87.726173282,17875,2016-03-24
"33",41.956734569,-87.68231723,17875,2016-03-24
"34",41.838514387,-87.651583881,17875,2016-03-24
"35",41.899255292,-87.667232931,726000,2016-03-24
"36",41.84607599,-87.654515399,250000,2016-03-24
"37",41.950179229,-87.681219841,8e+05,NA
"38",41.92754064,-87.669595482,614900,2016-03-24
"39",41.914935877,-87.690664316,17875,2016-03-24
"40",41.894383908,-87.666180321,17875,2016-03-24
"41",41.892416972,-87.659151509,17875,2016-03-24
"42",41.81611974,-87.642845029,12000,2006-05-10
"43",41.909780817,-87.676307236,750000,2016-03-25
"44",42.007648239,-87.674637724,10000,2016-03-25
"45",41.924567606,-87.648875182,60000,2016-03-25
"46",42.002408493,-87.81112416,250000,2016-03-28
"47",42.002402978,-87.811293351,250000,2016-03-28
"48",42.002394705,-87.811547131,250000,2016-03-28
"49",41.838405487,-87.658401724,17875,2016-03-28
"50",41.965864539,-87.681449759,250000,2016-03-28
"51",41.876469561,-87.65332116,60000,2016-03-25
