,GEOID,cost,date
1,17031381400,2e+05,2016-03-22
2,17031062200,17875,2016-03-22
3,17031062200,17875,2016-03-22
4,17031071800,750000,2016-03-22
5,17031161000,5e+05,2015-11-06
6,17031221600,483600,2016-03-22
7,17031570300,17875,2016-03-22
8,17031051300,17875,2016-03-22
9,17031611900,17875,2016-03-22
10,17031671600,17875,2016-03-22
11,17031611900,17875,2016-03-22
12,17031611900,17875,2016-03-22
13,17031081100,20000,2016-03-22
14,17031670700,17875,2016-03-22
15,17031670600,17875,2016-03-22
16,17031242600,491100,2016-03-22
17,17031061100,10000,2016-03-22
18,17031040401,17875,2016-03-23
19,17031061200,17875,2016-03-23
20,17031510300,137200,2016-03-23
21,17031650500,8e+05,2016-03-23
22,17031830900,5600000,2016-03-23
23,17031832400,220000,2016-03-23
24,17031560300,17875,2016-03-23
25,17031833300,15000,2016-03-23
26,17031330100,1.5e+08,2016-03-23
27,17031210100,5e+05,2006-02-08
28,17031062000,7e+05,2016-03-24
29,17031381200,250000,NA
30,17031320600,50000,2016-03-24
31,17031060400,450000,2016-03-24
32,17031831100,17875,2016-03-24
33,17031050200,17875,2016-03-24
34,17031600600,17875,2016-03-24
35,17031242000,726000,2016-03-24
36,17031840200,250000,2016-03-24
37,17031050500,8e+05,NA
38,17031070700,614900,2016-03-24
39,17031832400,17875,2016-03-24
40,17031243300,17875,2016-03-24
41,17031243400,17875,2016-03-24
42,17031842600,12000,2006-05-10
43,17031241500,750000,2016-03-25
44,17031010702,10000,2016-03-25
45,17031071100,60000,2016-03-25
46,17031090200,250000,2016-03-28
47,17031090200,250000,2016-03-28
48,17031090200,250000,2016-03-28
49,17031600700,17875,2016-03-28
50,17031040600,250000,2016-03-28
51,17031833300,60000,2016-03-25
52,17031222500,17875,2016-03-28
53,17031770602,1e+07,2016-03-28
54,17031711200,10000,2016-03-29
55,17031320100,39000,2016-03-28
56,17031839600,250000,2016-03-29
57,17031681400,17875,2016-03-29
58,17031660600,17875,2016-03-29
59,17031031502,17875,2016-03-29
60,17031242900,596200,2016-03-29
61,17031071100,17875,2016-03-29
62,17031831000,650000,2016-03-29
63,17031221600,4e+05,2016-03-29
64,17031839000,9840000,2016-03-29
65,17031260600,75000,2016-03-30
66,17031720200,130000,2016-03-30
67,17031061100,92000,2016-03-23
68,17031839900,17875,2016-03-30
69,17031040201,17875,2016-03-30
70,17031031000,3e+05,2016-03-30
71,17031040201,17875,2016-03-30
72,17031330100,92000,2016-03-24
73,17031291200,17875,2016-03-30
74,17031838700,17875,2016-03-30
75,17031841500,17875,2016-03-30
76,17031841500,17875,2016-03-30
77,17031290900,17875,2016-03-30
78,17031070700,1951200,2016-03-31
79,17031210900,3e+05,2016-03-31
80,17031090200,250000,2016-03-31
81,17031831600,2083500,2016-03-31
82,17031838600,17875,2016-03-31
83,17031051400,17875,2016-03-31
84,17031242000,17875,2016-03-31
85,17031070700,17875,2016-03-31
86,17031210100,17875,2016-03-31
87,17031051300,17875,2016-03-31
88,17031051300,17875,2016-03-31
89,17031310700,17875,2016-03-31
90,17031170100,1000,2016-03-31
91,17031290900,17875,2016-03-31
92,17031330100,4895000,2016-03-31
93,17031330100,5221500,2016-03-31
94,17031330100,5221500,2016-03-31
95,17031330100,2360000,2016-03-31
96,17031330100,2360000,2016-03-31
97,17031330100,2530000,2016-03-31
98,17031330100,5221500,2016-03-31
99,17031330100,5221500,2016-03-31
100,17031330100,5221500,2016-03-31
101,17031320100,2000,2016-03-31
102,17031410500,38335,2016-04-01
103,17031300900,17875,2016-04-01
104,17031842300,759900,2016-04-01
105,17031570100,3e+05,2016-04-01
106,17031031502,3e+06,2016-04-04
107,17031070500,17875,2016-04-04
108,17031831600,2083500,2016-04-04
109,17031210900,3e+05,2016-04-04
110,17031843700,17875,2016-04-04
111,17031090200,120000,2016-04-04
112,17031222500,17875,2016-04-04
113,17031222500,17875,2016-04-04
114,17031241200,3e+05,2016-04-04
115,17031031700,5e+05,2016-04-05
116,17031840000,390200,2016-04-05
117,17031161100,149000,2016-04-05
118,17031832200,17875,2016-04-05
119,17031280100,17875,2016-04-05
120,17031081201,750000,2016-04-05
121,17031838300,20000,2016-03-31
122,17031170600,17875,2016-04-05
123,17031520600,125000,2016-04-06
124,17031161100,149000,2016-04-06
125,17031140800,2200000,2016-04-06
126,17031070200,17875,2016-04-06
127,17031070500,550000,2016-04-06
128,17031832600,17875,2016-04-06
129,17031051300,350000,2016-04-06
130,17031081900,92000,2016-03-31
131,17031611900,17875,2016-04-06
132,17031610300,9e+05,NA
133,17031832600,1e+06,2016-04-07
134,17031050200,17875,2016-04-07
135,17031081202,1500000,2016-04-08
136,17031090200,15000,2016-04-07
137,17031140800,17875,2016-04-08
138,17031843600,240000,2016-04-08
139,17031050600,370000,2016-04-08
140,17031170900,17875,2016-04-08
141,17031170900,17875,2016-04-08
142,17031070500,411300,2016-04-08
143,17031062800,421950,2016-04-08
144,17031831000,17875,2016-04-07
145,17031070200,17875,2016-04-08
146,17031070200,17875,2016-04-08
147,17031070300,17875,2016-04-07
148,17031140100,17875,2016-04-07
149,17031061100,1000,2016-04-08
150,17031221400,17875,2016-04-11
151,17031834600,17875,2016-04-11
152,17031060200,5e+05,2016-04-11
153,17031220602,40000,2016-04-11
154,17031710200,17875,2016-04-11
155,17031611100,17875,2016-04-11
156,17031241000,1104000,2016-04-11
157,17031051400,493400,2016-04-11
158,17031491300,17875,2016-04-11
159,17031612000,17875,2016-04-11
160,17031670900,17875,2016-04-11
161,17031611100,17875,2016-04-11
162,17031612000,17875,2016-04-11
163,17031330200,17875,2016-04-11
164,17031241000,35000,2016-04-12
165,17031062700,17875,2016-04-12
166,17031241200,17875,2016-04-12
167,17031612100,17875,2016-04-11
168,17031242900,1335000,2016-04-12
169,17031242000,17875,2016-04-12
170,17031460400,1000,2016-04-12
171,17031243100,17875,2016-04-13
172,17031051400,17875,2016-04-13
173,17031051200,199000,2016-04-13
174,17031120300,215000,2016-04-13
175,17031120300,215000,2016-04-13
176,17031120300,215000,2016-04-13
177,17031120300,215000,2016-04-13
178,17031100500,1e+05,NA
179,17031090300,471450,2016-04-13
180,17031170600,250000,2016-04-13
181,17031834800,2537000,2016-04-13
182,17031242400,17875,2016-04-13
183,17031242100,17875,2016-04-13
184,17031220601,15000,2016-04-13
185,17031390200,3e+05,2016-04-14
186,17031051400,960000,2016-04-14
187,17031050800,875000,2016-04-14
188,17031843700,220000,2016-04-14
189,17031243500,1400000,2016-04-14
190,17031840400,17875,2016-04-14
191,17031831900,17875,2016-04-14
192,17031310200,250000,2016-04-14
193,17031310200,250000,2016-04-14
194,17031240600,17875,2016-04-14
195,17031060400,17875,2016-04-14
196,17031242000,718800,2016-04-14
197,17031831900,17875,2016-04-14
198,17031070101,5000,2016-04-14
199,17031071600,17875,2016-04-14
200,17031081500,1e+07,2016-04-14
201,17031840300,80000,2016-04-15
202,17031070500,150000,2016-04-15
203,17031070200,850000,2016-04-15
204,17031570300,3e+05,2016-04-15
205,17031241100,250000,2016-04-15
206,17031051300,17875,2016-04-15
207,17031310200,189000,2016-04-18
208,17031230100,2e+05,NA
209,17031221300,555600,2016-04-18
210,17031280400,5e+05,2016-04-18
211,17031222500,17875,2016-04-18
212,17031242900,16720,2016-04-18
213,17031060200,17875,2016-04-18
214,17031051400,17875,2016-04-18
215,17031051300,1116750,2016-04-18
216,17031310600,17875,2016-04-18
217,17031838100,10000,2016-04-18
218,17031241200,3e+05,2016-04-18
219,17031242200,60000,2016-04-19
220,17031720200,17875,2016-04-19
221,17031843700,4e+05,2016-04-19
222,17031242900,17875,2016-04-19
223,17031040900,17875,2016-04-19
224,17031320100,120000,2016-04-19
225,17031160100,17875,2016-04-19
226,17031770602,80000,2016-04-11
227,17031330100,6000,2016-04-19
228,17031241200,2472500,2016-04-20
229,17031243500,1250000,2016-04-20
230,17031310400,1262300,2016-04-20
231,17031838300,60000,2016-04-19
232,17031832500,17875,2016-04-20
233,17031420200,17875,2016-04-20
234,17031210900,250000,2016-04-20
235,17031530501,17875,2016-04-20
236,17031530600,17875,2016-04-20
237,17031530600,17875,2016-04-20
238,17031320100,1e+05,2016-04-20
239,17031231200,17875,2016-04-20
240,17031320100,15000,NA
241,17031320100,1000,2016-04-20
242,17031320100,3000,2016-04-20
243,17031840300,225000,2016-04-21
244,17031242100,17875,2016-04-21
245,17031080300,1e+08,2016-04-21
246,17031843200,31011350,2016-04-22
247,17031221400,1489400,2016-04-22
248,17031841100,2e+05,2016-04-22
249,17031081000,17875,2016-04-22
250,17031081000,17875,2016-04-22
251,17031833000,17875,2016-04-22
252,17031081202,1000,2016-04-22
253,17031320100,38000,2016-04-22
254,17031838100,17875,2016-04-22
255,17031320400,7500,2016-04-22
256,17031320100,2000,2016-04-22
257,17031330100,1000,2016-04-22
258,17031320100,17875,2016-04-22
259,17031320100,1000,2016-04-22
260,17031320100,1000,2016-04-22
261,17031320100,1000,2016-04-22
262,17031320100,17875,2016-04-22
263,17031320100,1000,2016-04-22
264,17031330100,1000,2016-04-22
265,17031650400,10000,2006-03-07
266,17031062300,5000,2006-05-31
267,17031831900,15000,2006-06-23
268,17031330100,20000,2006-08-17
269,17031842300,192000,2006-09-21
270,17031020200,9500,2006-11-03
271,17031251100,18000,2007-02-23
272,17031839600,10500,2007-01-29
273,17031241400,20000,2007-04-06
274,17031841900,48000,2007-03-09
275,17031050800,350000,2007-05-31
276,17031580200,19000,2007-05-21
277,17031460600,8000,2007-10-17
278,17031080300,9000,2007-09-19
279,17031081201,2300000,2007-09-07
280,17031330100,3e+05,2007-10-30
281,17031832200,10000,2008-04-22
282,17031630800,15700,2008-01-25
283,17031330100,310000,2008-07-29
284,17031660500,272600,2008-09-19
285,17031070700,17875,2009-01-28
286,17031081403,17875,2009-02-13
287,17031720300,17875,2009-02-24
288,17031400300,17875,2009-03-18
289,17031841200,10000,2009-08-12
290,17031520300,17875,2009-09-30
291,17031040202,17875,2009-10-14
292,17031222500,17875,2009-12-09
293,17031711200,3000,2010-01-07
294,17031680600,17875,2009-12-17
295,17031660800,20000,2010-10-07
296,17031070600,2300,2010-05-04
297,17031252202,17875,2010-10-08
298,17031580100,17875,2010-11-22
299,17031210602,17875,2010-12-13
300,17031560200,17875,2011-03-16
301,17031520300,17875,2011-01-25
302,17031080300,17875,2011-03-04
303,17031670600,17875,2011-04-06
304,17031530300,17875,2011-04-06
305,17031320100,2000,2011-06-02
306,17031671600,17875,2011-06-27
307,17031260600,17875,2011-12-23
308,17031836800,17875,2012-02-10
309,17031838800,17875,2012-03-02
310,17031834600,17875,2012-04-03
311,17031834600,17875,2012-03-28
312,17031650302,8000,2012-02-29
313,17031670600,17875,2012-03-07
314,17031440202,17875,2012-04-17
315,17031491400,17875,2012-05-03
316,17031490901,17875,2012-04-11
317,17031090300,17875,2012-07-11
318,17031050900,17875,2012-07-17
319,17031832200,17875,2012-07-24
320,17031671300,17875,2012-07-20
321,17031834900,17875,2012-07-27
322,17031230700,17875,2012-08-22
323,17031842600,145000,2012-10-22
324,17031241400,385000,NA
325,17031611700,17875,2012-09-19
326,17031081402,15000,2012-09-25
327,17031210900,17875,2012-10-11
328,17031832300,17875,2012-11-20
329,17031611900,17875,2012-11-16
330,17031062900,17875,2013-01-10
331,17031440800,17875,2012-12-11
332,17031839500,355100,2013-03-26
333,17031300900,17875,2013-02-08
334,17031834500,17875,2013-03-27
335,17031243400,17875,2013-02-11
336,17031210900,260800,2013-04-08
337,17031834600,17875,2013-03-12
338,17031062800,17875,2013-05-14
339,17031161000,17875,2013-04-29
340,17031500300,17875,2013-08-08
341,17031200401,17875,2014-03-04
342,17031221400,17875,2013-11-25
343,17031231500,17875,2013-10-04
344,17031310300,17875,2013-10-23
345,17031051300,17875,2013-12-11
346,17031051300,17875,2013-12-11
347,17031843700,377400,2014-04-22
348,17031160200,17875,2014-05-08
349,17031130100,17875,2014-04-14
350,17031040100,17875,2014-05-12
351,17031062300,1200000,2014-05-14
352,17031834500,17875,2014-05-29
353,17031081800,5800,2014-05-21
354,17031320100,2500,2014-06-02
355,17031242900,17875,2014-06-11
356,17031242500,17875,2014-07-02
357,17031062500,1000,2014-06-26
358,17031560700,1e+06,2014-07-11
359,17031670600,17875,2014-07-28
360,17031062400,17875,2014-07-29
361,17031242900,17875,2014-08-01
362,17031841100,17875,2014-08-15
363,17031050800,250000,2014-08-27
364,17031611800,17875,2014-08-27
365,17031830600,17875,2014-09-05
366,17031071700,17875,2014-09-18
367,17031681300,17875,2014-09-18
368,17031062400,17875,2014-09-24
369,17031222600,230000,2014-10-02
370,17031836700,17875,2014-10-03
371,17031834600,17875,2014-10-06
372,17031170100,17875,2014-10-09
373,17031280100,1e+05,2014-10-16
374,17031062800,15000,2014-11-12
375,17031460200,17875,2014-11-19
376,17031062800,17875,2014-11-21
377,17031242000,672000,2014-12-03
378,17031062900,17875,2014-12-08
379,17031242000,22250,2014-12-09
380,17031460302,17875,2014-12-31
381,17031320600,60000,2015-01-12
382,17031831500,2e+05,2015-02-10
383,17031381500,35000,2015-03-09
384,17031611100,17875,2015-03-10
385,17031050200,250000,2015-03-12
386,17031251700,17875,2015-03-13
387,17031440102,17875,2015-03-19
388,17031230900,17875,2015-03-31
389,17031843300,17875,2015-03-30
390,17031681400,17875,2015-04-02
391,17031560900,120000,NA
392,17031842600,230000,2015-04-17
393,17031530501,17875,2015-04-22
394,17031831900,408100,2015-04-27
395,17031062400,522000,NA
396,17031830500,1e+06,2015-05-19
397,17031062500,10000,2015-05-29
398,17031830900,17875,2015-06-02
399,17031243100,17875,2015-06-02
400,17031051100,386000,2015-06-02
401,17031843500,250000,2015-06-10
402,17031020302,17875,2015-06-10
403,17031040100,2e+05,2015-06-16
404,17031081800,9000,2015-06-17
405,17031310400,17875,2015-07-30
406,17031280100,17875,2015-10-01
407,17031560200,375000,2007-08-02
408,17031210501,1450000,2009-11-05
409,17031836700,6500000,2009-12-15
410,17031050500,770000,2010-05-10
411,17031681000,760000,2010-10-29
412,17031760802,6e+05,2010-06-09
413,17031330100,6e+06,2010-07-26
414,17031831900,1300000,2010-08-13
415,17031070300,1e+06,2010-09-01
416,17031540102,17875,2011-03-21
417,17031160502,225000,2015-07-06
418,17031220300,986850,2015-07-06
419,17031242200,575000,2015-07-06
420,17031081700,17875,2015-07-06
421,17031120100,125000,2015-07-06
422,17031640300,3000,2015-07-06
423,17031320100,5000,NA
424,17031062500,2500000,2015-07-02
425,17031071600,3e+05,NA
426,17031831000,25000,2015-07-07
427,17031670400,17875,2015-07-07
428,17031050800,350000,2015-07-07
429,17031831700,319200,2015-07-07
430,17031831700,319200,2015-07-07
431,17031831700,319200,2015-07-07
432,17031831700,319200,2015-07-07
433,17031680900,17875,2015-07-07
434,17031031000,17875,2015-07-07
435,17031140602,1200,2015-07-07
436,17031030400,2e+05,2015-07-07
437,17031070300,750000,2015-07-07
438,17031420500,6000,2015-07-07
439,17031081402,3500,2015-07-07
440,17031836400,20000,2015-07-07
441,17031842300,12000,2015-07-07
442,17031710200,22000,2015-07-08
443,17031070700,4400000,2015-07-08
444,17031060200,17875,2015-07-08
445,17031610300,17875,2015-07-08
446,17031243000,17875,2015-07-08
447,17031070600,17875,2015-07-08
448,17031831200,247206,2015-07-08
449,17031280100,92000,2015-06-25
450,17031242300,17875,2015-07-08
451,17031320100,8000,2015-07-08
452,17031221600,25875,2015-07-08
453,17031051100,350000,2015-07-08
454,17031151002,5000,2015-07-08
455,17031400300,3000,2015-07-08
456,17031842900,5000,2015-07-08
457,17031842900,5000,2015-07-08
458,17031140500,17875,2015-07-09
459,17031570200,50000,2015-07-09
460,17031051300,3e+05,2015-07-09
461,17031160501,17875,2015-07-09
462,17031681000,17875,2015-07-09
463,NA,17875,2015-07-09
464,17031030400,17875,2015-07-09
465,17031242200,8000,NA
466,17031210700,17875,2015-07-09
467,17031050500,350000,NA
468,17031210502,17875,2015-07-09
469,17031230600,17875,2015-07-09
470,17031600400,17875,2015-07-09
471,NA,10000,2015-07-08
472,17031842300,8e+06,2015-07-09
473,17031160100,14000,2015-07-08
474,17031240900,8200000,2015-07-09
475,17031060400,1e+06,2015-07-10
476,17031210502,220000,2015-07-10
477,17031560800,230000,2015-07-10
478,17031830900,250000,2015-07-10
479,17031160900,17875,2015-07-10
480,17031160900,17875,2015-07-10
481,17031560800,250000,2015-07-10
482,17031831900,17875,2015-07-10
483,17031040900,1500,2015-07-10
484,17031040900,1500,2015-07-10
485,17031330100,17875,2015-07-09
486,17031750400,2e+05,2015-07-13
487,17031070300,1200000,2015-07-13
488,17031750500,635000,2015-07-13
489,17031221000,17875,2015-07-13
490,17031221000,17875,2015-07-13
491,17031070300,275000,2015-07-13
492,17031062800,17875,2015-07-13
493,17031230200,638200,2015-07-13
494,17031832300,17875,2015-07-13
495,17031230200,3842000,2015-07-14
496,17031241300,3e+05,2015-07-14
497,17031280900,8e+05,2015-07-14
498,17031838300,1447000,2015-07-14
499,17031241400,2e+05,2015-07-14
500,17031282700,277500,2015-07-14
501,17031282700,277500,2015-07-14
502,17031833300,4e+05,2015-07-14
503,17031170100,1000,2015-07-14
504,17031242100,17875,2015-07-14
505,17031221000,309000,2015-07-14
506,17031160700,250000,2015-07-14
