,std,sum,mean,timestamp
17031010100,47.008532027,962.876953125,106.986328125,2014-02-15
17031010201,20.5969084789,1636.91540527,181.879489475,2014-02-15
17031010202,15.381566576,1178.23803711,196.373006185,2014-02-15
17031010300,49.2427157261,1244.91333008,138.323703342,2014-02-15
17031010400,60.3612728405,1355.29321289,96.8066580636,2014-02-15
17031010501,21.0760875127,821.922180176,164.384436035,2014-02-15
17031010502,6.35248974628,735.569274902,183.892318726,2014-02-15
17031010503,6.83148571561,726.081604004,181.520401001,2014-02-15
17031010600,16.256414535,1258.99560547,179.856515067,2014-02-15
17031010701,8.33551785129,1450.953125,181.369140625,2014-02-15
17031010702,5.34759276236,1123.03527832,187.172546387,2014-02-15
17031020100,28.3302292264,1415.99133301,157.332370334,2014-02-15
17031020200,22.3141288213,2253.51831055,150.234554036,2014-02-15
17031020301,23.658041919,1898.328125,172.575284091,2014-02-15
17031020302,2.65305446316,1649.0423584,183.226928711,2014-02-15
17031020400,9.45003177698,1921.90893555,174.718994141,2014-02-15
17031020500,12.7561914937,2324.57641602,178.813570463,2014-02-15
17031020601,18.8449024646,2247.44775391,204.313432173,2014-02-15
17031020602,8.63210810899,1167.70983887,194.618306478,2014-02-15
17031020701,13.9925110178,1968.2713623,218.696818034,2014-02-15
17031020702,39.7635232857,2153.57373047,195.779430043,2014-02-15
17031020801,37.7566219358,1992.75878906,181.159889915,2014-02-15
17031020802,16.3950333681,1298.51538086,216.419230143,2014-02-15
17031020901,16.5225103168,1080.34619141,180.057698568,2014-02-15
17031020902,15.8274945118,1497.96313477,187.245391846,2014-02-15
17031030101,47.1169899525,319.914398193,106.638132731,2014-02-15
17031030102,53.765211026,665.779541016,110.963256836,2014-02-15
17031030103,60.1949834717,533.466003418,133.366500854,2014-02-15
17031030104,61.4991504642,997.555786133,124.694473267,2014-02-15
17031030200,12.4034257648,2054.28540039,186.753218217,2014-02-15
17031030300,14.8209995613,1185.80859375,197.634765625,2014-02-15
17031030400,32.7245497884,1101.97766113,183.662943522,2014-02-15
17031030500,16.3285237192,2393.30444336,199.442036947,2014-02-15
17031030601,49.2074375227,688.264709473,114.710784912,2014-02-15
17031030603,14.7816618848,384.913543701,192.456771851,2014-02-15
17031030604,52.1104189988,776.096984863,129.349497477,2014-02-15
17031030701,42.7295272616,329.017822266,164.508911133,2014-02-15
17031030702,7.3552208452,258.269195557,129.134597778,2014-02-15
17031030703,24.060985139,906.626464844,181.325292969,2014-02-15
17031030706,56.2443625647,1213.67700195,121.367700195,2014-02-15
17031030800,11.3546757818,2017.88500977,201.788500977,2014-02-15
17031030900,21.5421187392,1768.78540039,196.531711155,2014-02-15
17031031000,12.9381282242,1209.50439453,201.584065755,2014-02-15
17031031100,15.4620533432,1249.47460938,208.245768229,2014-02-15
17031031200,18.1069363786,817.202209473,204.300552368,2014-02-15
17031031300,70.2436179691,1232.84912109,94.8345477764,2014-02-15
17031031400,63.2688601187,2731.94897461,97.569606236,2014-02-15
17031031501,11.7035037541,880.31072998,220.077682495,2014-02-15
17031031502,14.9846453598,892.64440918,223.161102295,2014-02-15
17031031700,18.9935227446,1938.33703613,215.370781793,2014-02-15
17031031800,16.502246434,1243.40197754,207.233662923,2014-02-15
17031031900,15.1954410342,1204.91333008,200.818888346,2014-02-15
17031032100,24.3020053366,1502.71740723,187.839675903,2014-02-15
17031040100,31.0596332361,3359.43139648,152.701427113,2014-02-15
17031040201,13.1824565482,2465.17651367,205.431376139,2014-02-15
17031040202,29.5733454934,2203.70092773,183.641743978,2014-02-15
17031040300,10.1343672692,2207.96533203,200.724121094,2014-02-15
17031040401,19.4313287782,1174.21875,195.703125,2014-02-15
17031040402,11.8003551882,1451.43981934,181.429977417,2014-02-15
17031040600,20.0323743103,789.148132324,197.287033081,2014-02-15
17031040700,18.5745633676,837.497192383,209.374298096,2014-02-15
17031040800,14.4169183316,1272.51916504,212.086527507,2014-02-15
17031040900,16.3226391303,1232.81762695,205.469604492,2014-02-15
17031050100,12.1890682418,1143.29528809,190.549214681,2014-02-15
17031050200,10.8031223132,1876.29882812,208.477647569,2014-02-15
17031050300,18.2973775906,1752.44055176,194.715616862,2014-02-15
17031050500,12.2650930971,1760.08789062,195.565321181,2014-02-15
17031050600,11.9364684293,1133.49353027,188.915588379,2014-02-15
17031050700,8.16141039833,723.539306641,180.88482666,2014-02-15
17031050800,5.41361594732,712.29107666,178.072769165,2014-02-15
17031050900,12.3058053808,781.518310547,195.379577637,2014-02-15
17031051000,9.45339819143,801.457397461,200.364349365,2014-02-15
17031051100,11.9878803085,764.839538574,191.209884644,2014-02-15
17031051200,10.9750662765,761.988464355,190.497116089,2014-02-15
17031051300,19.9440817816,1201.14660645,200.191101074,2014-02-15
17031051400,19.3008858433,1126.9987793,225.399755859,2014-02-15
17031060100,15.476789262,1369.43920898,171.179901123,2014-02-15
17031060200,6.66656583074,1081.71850586,180.286417643,2014-02-15
17031060300,8.47902739939,1106.62182617,184.436971029,2014-02-15
17031060400,16.1865866725,1656.49389648,184.054877387,2014-02-15
17031060500,16.6068787444,706.296020508,176.574005127,2014-02-15
17031060800,60.542391251,785.063842773,112.151977539,2014-02-15
17031060900,59.7870896913,1372.73449707,98.0524640765,2014-02-15
17031061000,12.0164808904,791.366943359,197.84173584,2014-02-15
17031061100,8.62411096386,823.243896484,205.810974121,2014-02-15
17031061200,10.7405652184,809.592285156,202.398071289,2014-02-15
17031061500,1.61641206441,845.631652832,211.407913208,2014-02-15
17031061800,15.1071241268,526.371948242,175.457316081,2014-02-15
17031061901,22.0059230807,639.303833008,159.825958252,2014-02-15
17031061902,51.0073986795,914.752380371,76.2293650309,2014-02-15
17031062000,15.8314394705,761.554199219,190.388549805,2014-02-15
17031062100,7.64039408641,837.797729492,209.449432373,2014-02-15
17031062200,1.49859982945,854.852294922,213.71307373,2014-02-15
17031062300,1.86360930108,420.965332031,210.482666016,2014-02-15
17031062400,2.62863561362,628.21496582,209.404988607,2014-02-15
17031062500,11.1291477886,606.423034668,202.141011556,2014-02-15
17031062600,8.62498112921,1830.21606445,203.357340495,2014-02-15
17031062700,7.54198588614,1236.55419922,206.092366536,2014-02-15
17031062800,9.05616640658,1207.58532715,201.264221191,2014-02-15
17031062900,9.46404973067,1210.11535645,201.685892741,2014-02-15
17031063000,6.35786478792,1228.95410156,204.825683594,2014-02-15
17031063100,12.519730522,784.18371582,196.045928955,2014-02-15
17031063200,62.2769770862,1165.19384766,97.0994873047,2014-02-15
17031063301,7.80973510645,691.301757812,172.825439453,2014-02-15
17031063302,21.0314226753,579.236328125,144.809082031,2014-02-15
17031063303,30.9737477047,469.442779541,93.8885559082,2014-02-15
17031063400,11.3503775244,766.683532715,191.670883179,2014-02-15
17031070101,52.2443407189,1680.16894531,93.342719184,2014-02-15
17031070102,11.0944035899,813.466491699,162.69329834,2014-02-15
17031070103,3.6273642098,658.164916992,164.541229248,2014-02-15
17031070200,13.3578998768,1242.69641113,177.528058733,2014-02-15
17031070300,5.87785389079,1139.10791016,189.851318359,2014-02-15
17031070400,5.25027077597,1114.04614258,185.674357096,2014-02-15
17031070500,5.4870816731,1103.81689453,183.969482422,2014-02-15
17031070600,9.2219638201,1140.49890137,190.083150228,2014-02-15
17031070700,23.2585007593,2840.2578125,218.481370192,2014-02-15
17031071000,10.3320772782,1111.57128906,185.26188151,2014-02-15
17031071100,5.46415636685,1107.9765625,184.662760417,2014-02-15
17031071200,6.10325968213,1453.49414062,181.686767578,2014-02-15
17031071300,8.29072046552,1402.32312012,175.290390015,2014-02-15
17031071400,57.3098598564,1809.24182129,106.425989488,2014-02-15
17031071500,72.3768170469,1657.92041016,110.528027344,2014-02-15
17031071600,1.04668424776,367.528259277,183.764129639,2014-02-15
17031071700,11.6854389842,770.540100098,192.635025024,2014-02-15
17031071800,24.782831168,1195.35437012,199.225728353,2014-02-15
17031080100,37.6357936311,1110.40307617,185.067179362,2014-02-15
17031080201,18.3980161841,827.754272461,206.938568115,2014-02-15
17031080202,24.1387868434,928.017028809,232.004257202,2014-02-15
17031080300,39.0765870432,1507.06481934,251.177469889,2014-02-15
17031080400,54.5026279947,1607.30639648,267.884399414,2014-02-15
17031081000,44.9491755811,1745.74365234,290.957275391,2014-02-15
17031081100,54.5999030591,880.892944336,293.630981445,2014-02-15
17031081201,40.5674893407,1240.67456055,310.168640137,2014-02-15
17031081202,89.2461733874,1924.44934082,137.460667201,2014-02-15
17031081300,92.4591055436,1297.91503906,216.319173177,2014-02-15
17031081401,74.7526781502,1641.23974609,205.154968262,2014-02-15
17031081402,39.7740542392,1037.78320312,103.778320312,2014-02-15
17031081403,76.0116611403,3064.97900391,105.688931169,2014-02-15
17031081500,36.17625176,1963.30395508,327.217325846,2014-02-15
17031081600,7.18897778343,1080.22741699,360.075805664,2014-02-15
17031081700,15.3863943001,2115.14941406,352.524902344,2014-02-15
17031081800,38.4619918843,3903.79296875,300.291766827,2014-02-15
17031081900,13.1173707132,591.340209961,295.67010498,2014-02-15
17031090100,32.9787253328,1238.44421387,112.585837624,2014-02-15
17031090200,28.6621747896,2390.3984375,149.399902344,2014-02-15
17031090300,34.8107817686,1604.14855957,133.679046631,2014-02-15
17031100100,29.9491213526,2200.09179688,183.340983073,2014-02-15
17031100200,42.9809810033,3823.46801758,141.609926577,2014-02-15
17031100300,16.2533722462,4292.29785156,171.691914062,2014-02-15
17031100400,31.8158458457,1711.81616211,142.651346842,2014-02-15
17031100500,31.3332979506,3117.97583008,135.564166525,2014-02-15
17031100600,10.6455065334,3259.17724609,181.065402561,2014-02-15
17031100700,30.951893973,1971.77185059,140.84084647,2014-02-15
17031110100,47.1257095437,3752.83398438,150.113359375,2014-02-15
17031110200,9.18109142633,2571.47998047,214.289998372,2014-02-15
17031110300,14.7533182841,2840.83007812,189.388671875,2014-02-15
17031110400,13.4725820662,3290.53125,205.658203125,2014-02-15
17031110501,24.558109632,1759.17541504,195.463935004,2014-02-15
17031110502,13.0095684344,2539.81494141,211.651245117,2014-02-15
17031120100,25.5056175914,3963.5078125,107.12183277,2014-02-15
17031120200,21.2875954196,2881.42773438,115.257109375,2014-02-15
17031120300,20.8771539614,3011.21777344,136.873535156,2014-02-15
17031120400,51.5670875856,2881.26586914,169.486227597,2014-02-15
17031130100,34.5995986474,3461.48632812,173.074316406,2014-02-15
17031130200,31.8816440568,3844.7890625,147.876502404,2014-02-15
17031130300,19.8352959354,2211.1159668,201.010542436,2014-02-15
17031140100,8.71103121446,1562.28039551,195.285049438,2014-02-15
17031140200,13.0087615916,1728.38244629,192.042494032,2014-02-15
17031140301,11.8496117894,1432.22387695,179.027984619,2014-02-15
17031140302,10.5521662798,1347.94580078,168.493225098,2014-02-15
17031140400,15.1215180732,3206.0168457,200.376052856,2014-02-15
17031140500,3.02422874013,999.047302246,199.809460449,2014-02-15
17031140601,11.0529046983,747.352478027,186.838119507,2014-02-15
17031140602,7.37510586248,1056.27380371,176.045633952,2014-02-15
17031140701,6.65842436854,595.336242676,198.445414225,2014-02-15
17031140702,10.1259333176,1143.25500488,190.542500814,2014-02-15
17031140800,7.60905565536,1531.5012207,191.437652588,2014-02-15
17031150200,18.9679688948,3749.76513672,234.360321045,2014-02-15
17031150300,17.5101618848,2713.4453125,208.7265625,2014-02-15
17031150401,3.55350770256,1890.68530273,189.068530273,2014-02-15
17031150402,5.97458777289,1709.8157959,189.979532878,2014-02-15
17031150501,13.6817325574,1575.63452148,175.070502387,2014-02-15
17031150502,13.7515172873,2102.59521484,175.216267904,2014-02-15
17031150600,6.7221083338,1780.99377441,197.888197157,2014-02-15
17031150700,16.3709839223,1904.54064941,211.615627713,2014-02-15
17031150800,20.1662352124,2526.23388672,210.51949056,2014-02-15
17031151001,12.1658093573,1759.96557617,195.551730686,2014-02-15
17031151002,7.99731909018,1907.14953613,211.905504015,2014-02-15
17031151100,8.51992158745,1824.84436035,202.760484484,2014-02-15
17031151200,7.78298373911,1821.53820801,202.393134223,2014-02-15
17031160100,19.2668900808,1335.84594727,222.640991211,2014-02-15
17031160200,20.0725377278,3209.02294922,213.934863281,2014-02-15
17031160300,8.96533535099,1242.34545898,207.057576497,2014-02-15
17031160400,15.4837436541,2339.36352539,194.946960449,2014-02-15
17031160501,14.2611219047,1029.89758301,171.649597168,2014-02-15
17031160502,15.9945491407,1044.43676758,174.072794596,2014-02-15
17031160601,15.0853250499,1407.78344727,175.972930908,2014-02-15
17031160602,13.9685124115,1390.21972656,173.77746582,2014-02-15
17031160700,14.1766984912,2433.04101562,202.753417969,2014-02-15
17031160800,10.1106776702,1794.93322754,199.437025282,2014-02-15
17031160900,9.47854976673,2525.07641602,210.423034668,2014-02-15
17031161000,12.5275319356,1258.6550293,209.775838216,2014-02-15
17031161100,10.5878739516,1814.72253418,201.635837131,2014-02-15
17031161200,9.90585498577,1874.01916504,208.224351671,2014-02-15
17031161300,7.54419814901,1430.82702637,204.40386091,2014-02-15
17031170100,36.2821529134,1681.93066406,152.902787642,2014-02-15
17031170200,15.0045159218,2155.05078125,179.587565104,2014-02-15
17031170300,22.8865889265,2989.29248047,166.07180447,2014-02-15
17031170400,33.445731723,1510.33837891,167.815375434,2014-02-15
