,TRACTID,cost,date
1,381400,2e+05,2016-03-22
2,062200,17875,2016-03-22
3,062200,17875,2016-03-22
4,071800,750000,2016-03-22
5,161000,5e+05,2015-11-06
6,221600,483600,2016-03-22
7,570300,17875,2016-03-22
8,051300,17875,2016-03-22
9,611900,17875,2016-03-22
10,671600,17875,2016-03-22
11,611900,17875,2016-03-22
12,611900,17875,2016-03-22
13,081100,20000,2016-03-22
14,670700,17875,2016-03-22
15,670600,17875,2016-03-22
16,242600,491100,2016-03-22
17,061100,10000,2016-03-22
18,040401,17875,2016-03-23
19,061200,17875,2016-03-23
20,510300,137200,2016-03-23
21,650500,8e+05,2016-03-23
22,830900,5600000,2016-03-23
23,832400,220000,2016-03-23
24,560300,17875,2016-03-23
25,833300,15000,2016-03-23
26,330100,1.5e+08,2016-03-23
27,210100,5e+05,2006-02-08
28,062000,7e+05,2016-03-24
29,381200,250000,NA
30,320600,50000,2016-03-24
31,060400,450000,2016-03-24
32,831100,17875,2016-03-24
33,050200,17875,2016-03-24
34,600600,17875,2016-03-24
35,242000,726000,2016-03-24
36,840200,250000,2016-03-24
37,050500,8e+05,NA
38,070700,614900,2016-03-24
39,832400,17875,2016-03-24
40,243300,17875,2016-03-24
41,243400,17875,2016-03-24
42,842600,12000,2006-05-10
43,241500,750000,2016-03-25
44,010702,10000,2016-03-25
45,071100,60000,2016-03-25
46,090200,250000,2016-03-28
47,090200,250000,2016-03-28
48,090200,250000,2016-03-28
49,600700,17875,2016-03-28
50,040600,250000,2016-03-28
51,833300,60000,2016-03-25
52,222500,17875,2016-03-28
53,770602,1e+07,2016-03-28
54,711200,10000,2016-03-29
55,320100,39000,2016-03-28
56,839600,250000,2016-03-29
57,681400,17875,2016-03-29
58,660600,17875,2016-03-29
59,031502,17875,2016-03-29
60,242900,596200,2016-03-29
61,071100,17875,2016-03-29
62,831000,650000,2016-03-29
63,221600,4e+05,2016-03-29
64,839000,9840000,2016-03-29
65,260600,75000,2016-03-30
66,720200,130000,2016-03-30
67,061100,92000,2016-03-23
68,839900,17875,2016-03-30
69,040201,17875,2016-03-30
70,031000,3e+05,2016-03-30
71,040201,17875,2016-03-30
72,330100,92000,2016-03-24
73,291200,17875,2016-03-30
74,838700,17875,2016-03-30
75,841500,17875,2016-03-30
76,841500,17875,2016-03-30
77,290900,17875,2016-03-30
78,070700,1951200,2016-03-31
79,210900,3e+05,2016-03-31
80,090200,250000,2016-03-31
81,831600,2083500,2016-03-31
82,838600,17875,2016-03-31
83,051400,17875,2016-03-31
84,242000,17875,2016-03-31
85,070700,17875,2016-03-31
86,210100,17875,2016-03-31
87,051300,17875,2016-03-31
88,051300,17875,2016-03-31
89,310700,17875,2016-03-31
90,170100,1000,2016-03-31
91,290900,17875,2016-03-31
92,330100,4895000,2016-03-31
93,330100,5221500,2016-03-31
94,330100,5221500,2016-03-31
95,330100,2360000,2016-03-31
96,330100,2360000,2016-03-31
97,330100,2530000,2016-03-31
98,330100,5221500,2016-03-31
99,330100,5221500,2016-03-31
100,330100,5221500,2016-03-31
101,320100,2000,2016-03-31
102,410500,38335,2016-04-01
103,300900,17875,2016-04-01
104,842300,759900,2016-04-01
105,570100,3e+05,2016-04-01
106,031502,3e+06,2016-04-04
107,070500,17875,2016-04-04
108,831600,2083500,2016-04-04
109,210900,3e+05,2016-04-04
110,843700,17875,2016-04-04
111,090200,120000,2016-04-04
112,222500,17875,2016-04-04
113,222500,17875,2016-04-04
114,241200,3e+05,2016-04-04
115,031700,5e+05,2016-04-05
116,840000,390200,2016-04-05
117,161100,149000,2016-04-05
118,832200,17875,2016-04-05
119,280100,17875,2016-04-05
120,081201,750000,2016-04-05
121,838300,20000,2016-03-31
122,170600,17875,2016-04-05
123,520600,125000,2016-04-06
124,161100,149000,2016-04-06
125,140800,2200000,2016-04-06
126,070200,17875,2016-04-06
127,070500,550000,2016-04-06
128,832600,17875,2016-04-06
129,051300,350000,2016-04-06
130,081900,92000,2016-03-31
131,611900,17875,2016-04-06
132,610300,9e+05,NA
133,832600,1e+06,2016-04-07
134,050200,17875,2016-04-07
135,081202,1500000,2016-04-08
136,090200,15000,2016-04-07
137,140800,17875,2016-04-08
138,843600,240000,2016-04-08
139,050600,370000,2016-04-08
140,170900,17875,2016-04-08
141,170900,17875,2016-04-08
142,070500,411300,2016-04-08
143,062800,421950,2016-04-08
144,831000,17875,2016-04-07
145,070200,17875,2016-04-08
146,070200,17875,2016-04-08
147,070300,17875,2016-04-07
148,140100,17875,2016-04-07
149,061100,1000,2016-04-08
150,221400,17875,2016-04-11
151,834600,17875,2016-04-11
152,060200,5e+05,2016-04-11
153,220602,40000,2016-04-11
154,710200,17875,2016-04-11
155,611100,17875,2016-04-11
156,241000,1104000,2016-04-11
157,051400,493400,2016-04-11
158,491300,17875,2016-04-11
159,612000,17875,2016-04-11
160,670900,17875,2016-04-11
161,611100,17875,2016-04-11
162,612000,17875,2016-04-11
163,330200,17875,2016-04-11
164,241000,35000,2016-04-12
165,062700,17875,2016-04-12
166,241200,17875,2016-04-12
167,612100,17875,2016-04-11
168,242900,1335000,2016-04-12
169,242000,17875,2016-04-12
170,460400,1000,2016-04-12
171,243100,17875,2016-04-13
172,051400,17875,2016-04-13
173,051200,199000,2016-04-13
174,120300,215000,2016-04-13
175,120300,215000,2016-04-13
176,120300,215000,2016-04-13
177,120300,215000,2016-04-13
178,100500,1e+05,NA
179,090300,471450,2016-04-13
180,170600,250000,2016-04-13
181,834800,2537000,2016-04-13
182,242400,17875,2016-04-13
183,242100,17875,2016-04-13
184,220601,15000,2016-04-13
185,390200,3e+05,2016-04-14
186,051400,960000,2016-04-14
187,050800,875000,2016-04-14
188,843700,220000,2016-04-14
189,243500,1400000,2016-04-14
190,840400,17875,2016-04-14
191,831900,17875,2016-04-14
192,310200,250000,2016-04-14
193,310200,250000,2016-04-14
194,240600,17875,2016-04-14
195,060400,17875,2016-04-14
196,242000,718800,2016-04-14
197,831900,17875,2016-04-14
198,070101,5000,2016-04-14
199,071600,17875,2016-04-14
200,081500,1e+07,2016-04-14
201,840300,80000,2016-04-15
202,070500,150000,2016-04-15
203,070200,850000,2016-04-15
204,570300,3e+05,2016-04-15
205,241100,250000,2016-04-15
206,051300,17875,2016-04-15
207,310200,189000,2016-04-18
208,230100,2e+05,NA
209,221300,555600,2016-04-18
210,280400,5e+05,2016-04-18
211,222500,17875,2016-04-18
212,242900,16720,2016-04-18
213,060200,17875,2016-04-18
214,051400,17875,2016-04-18
215,051300,1116750,2016-04-18
216,310600,17875,2016-04-18
217,838100,10000,2016-04-18
218,241200,3e+05,2016-04-18
219,242200,60000,2016-04-19
220,720200,17875,2016-04-19
221,843700,4e+05,2016-04-19
222,242900,17875,2016-04-19
223,040900,17875,2016-04-19
224,320100,120000,2016-04-19
225,160100,17875,2016-04-19
226,770602,80000,2016-04-11
227,330100,6000,2016-04-19
228,241200,2472500,2016-04-20
229,243500,1250000,2016-04-20
230,310400,1262300,2016-04-20
231,838300,60000,2016-04-19
232,832500,17875,2016-04-20
233,420200,17875,2016-04-20
234,210900,250000,2016-04-20
235,530501,17875,2016-04-20
236,530600,17875,2016-04-20
237,530600,17875,2016-04-20
238,320100,1e+05,2016-04-20
239,231200,17875,2016-04-20
240,320100,15000,NA
241,320100,1000,2016-04-20
242,320100,3000,2016-04-20
243,840300,225000,2016-04-21
244,242100,17875,2016-04-21
245,080300,1e+08,2016-04-21
246,843200,31011350,2016-04-22
247,221400,1489400,2016-04-22
248,841100,2e+05,2016-04-22
249,081000,17875,2016-04-22
250,081000,17875,2016-04-22
251,833000,17875,2016-04-22
252,081202,1000,2016-04-22
253,320100,38000,2016-04-22
254,838100,17875,2016-04-22
255,320400,7500,2016-04-22
256,320100,2000,2016-04-22
257,330100,1000,2016-04-22
258,320100,17875,2016-04-22
259,320100,1000,2016-04-22
260,320100,1000,2016-04-22
261,320100,1000,2016-04-22
262,320100,17875,2016-04-22
263,320100,1000,2016-04-22
264,330100,1000,2016-04-22
265,650400,10000,2006-03-07
266,062300,5000,2006-05-31
267,831900,15000,2006-06-23
268,330100,20000,2006-08-17
269,842300,192000,2006-09-21
270,020200,9500,2006-11-03
271,251100,18000,2007-02-23
272,839600,10500,2007-01-29
273,241400,20000,2007-04-06
274,841900,48000,2007-03-09
275,050800,350000,2007-05-31
276,580200,19000,2007-05-21
277,460600,8000,2007-10-17
278,080300,9000,2007-09-19
279,081201,2300000,2007-09-07
280,330100,3e+05,2007-10-30
