,std,sum,mean,timestamp
1400000US36005000100,60.6655884013,2760.7265625,98.5973772321,2014-02-15
1400000US36005000200,31.4826016058,1096.25378418,52.2025611514,2014-02-15
1400000US36005000400,29.285380245,1061.46313477,53.0731567383,2014-02-15
1400000US36005001600,19.8677819538,932.624267578,116.578033447,2014-02-15
1400000US36005001900,37.6263680627,2751.32055664,88.7522760207,2014-02-15
1400000US36005002000,30.8330646204,913.870727539,130.552961077,2014-02-15
1400000US36005002300,10.7503065908,662.479736328,132.495947266,2014-02-15
1400000US36005002400,42.0696010525,1882.9239502,110.760232364,2014-02-15
1400000US36005002500,5.26514886803,586.517456055,117.303491211,2014-02-15
1400000US36005002701,5.65312487854,469.756408691,117.439102173,2014-02-15
1400000US36005002702,5.45143277528,733.658874512,122.276479085,2014-02-15
1400000US36005002800,11.8262310653,1310.88366699,145.653740777,2014-02-15
1400000US36005003100,4.47979885638,523.739379883,130.934844971,2014-02-15
1400000US36005003300,5.78799015878,619.351013184,123.870202637,2014-02-15
1400000US36005003500,3.74155084534,527.539550781,131.884887695,2014-02-15
1400000US36005003700,6.14406105824,773.345336914,128.890889486,2014-02-15
1400000US36005003800,6.1876374817,317.317718506,158.658859253,2014-02-15
1400000US36005003900,12.5374313419,790.560668945,131.760111491,2014-02-15
1400000US36005004001,13.3095488953,562.347473145,112.469494629,2014-02-15
1400000US36005004100,13.1582669921,653.924499512,130.784899902,2014-02-15
1400000US36005004200,22.1060806678,1159.45483398,144.931854248,2014-02-15
1400000US36005004300,8.71220183042,841.692626953,140.282104492,2014-02-15
1400000US36005004400,19.6693865086,1098.57592773,137.321990967,2014-02-15
1400000US36005004600,1.61753214974,667.407226562,166.851806641,2014-02-15
1400000US36005004800,18.8279069943,565.387451172,141.346862793,2014-02-15
1400000US36005005001,9.40866108659,288.350585938,144.175292969,2014-02-15
1400000US36005005002,15.4407441595,524.013183594,131.003295898,2014-02-15
1400000US36005005100,7.97305677464,1277.50610352,141.945122613,2014-02-15
1400000US36005005200,10.6355222771,483.746948242,120.936737061,2014-02-15
1400000US36005005300,10.2389001059,363.271484375,90.8178710938,2014-02-15
1400000US36005005400,13.5559032236,766.450073242,127.741678874,2014-02-15
1400000US36005005600,14.7513687792,642.191772461,128.438354492,2014-02-15
1400000US36005005902,13.8333735331,500.774475098,166.924825033,2014-02-15
1400000US36005006000,13.9204763958,1285.34436035,142.816040039,2014-02-15
1400000US36005006100,16.4729197831,1267.98486328,158.49810791,2014-02-15
1400000US36005006200,14.4119286191,733.489562988,146.697912598,2014-02-15
1400000US36005006300,17.6344668048,2636.73168945,146.485093859,2014-02-15
1400000US36005006400,16.0439732598,783.826049805,130.637674967,2014-02-15
1400000US36005006500,15.3452011841,933.707397461,155.617899577,2014-02-15
1400000US36005006700,9.63669262385,897.67755127,149.612925212,2014-02-15
1400000US36005006800,19.572001237,644.053833008,128.810766602,2014-02-15
1400000US36005006900,13.161928765,870.619873047,145.103312174,2014-02-15
1400000US36005007000,7.45287957577,466.909088135,116.727272034,2014-02-15
1400000US36005007100,6.38909001278,711.432250977,142.286450195,2014-02-15
1400000US36005007200,5.0431690132,459.60244751,114.900611877,2014-02-15
1400000US36005007300,4.43114607545,701.559875488,140.311975098,2014-02-15
1400000US36005007400,18.7412691261,483.252258301,120.813064575,2014-02-15
1400000US36005007500,3.75966331706,880.721435547,146.786905924,2014-02-15
1400000US36005007600,8.0053159218,702.583984375,117.097330729,2014-02-15
1400000US36005007700,4.27863101349,732.506530762,146.501306152,2014-02-15
1400000US36005007800,6.60055564754,731.481262207,104.497323172,2014-02-15
1400000US36005007900,6.62566164728,982.662719727,140.380388532,2014-02-15
1400000US36005008300,7.03128906239,674.36706543,134.873413086,2014-02-15
1400000US36005008400,29.4640211112,343.22567749,85.8064193726,2014-02-15
1400000US36005008500,5.82170748453,818.809204102,136.468200684,2014-02-15
1400000US36005008600,17.3511245583,487.413116455,121.853279114,2014-02-15
1400000US36005008700,5.07831970781,682.219238281,136.443847656,2014-02-15
1400000US36005008900,4.98029871033,539.002563477,134.750640869,2014-02-15
1400000US36005009000,50.3409817113,2174.64306641,74.987691945,2014-02-15
1400000US36005009200,5.07510212226,713.045166016,101.863595145,2014-02-15
1400000US36005009300,41.4244461444,3950.89794922,91.8813476562,2014-02-15
1400000US36005009600,18.4490270067,1277.85791016,106.48815918,2014-02-15
1400000US36005009800,18.4306335924,1304.00378418,118.545798562,2014-02-15
1400000US36005011000,34.4779297535,1830.12939453,63.1079101562,2014-02-15
1400000US36005011502,8.88459237953,1089.22900391,136.153625488,2014-02-15
1400000US36005011700,46.6798418479,2305.45141602,104.793246183,2014-02-15
1400000US36005011800,21.3763317385,1039.53479004,34.651159668,2014-02-15
1400000US36005011900,2.30729326258,528.361083984,132.090270996,2014-02-15
1400000US36005012101,6.70569026207,496.411804199,124.10295105,2014-02-15
1400000US36005012102,6.19299278109,379.280517578,126.426839193,2014-02-15
1400000US36005012300,7.53373050599,992.174438477,124.02180481,2014-02-15
1400000US36005012500,7.33851677318,510.978271484,127.744567871,2014-02-15
1400000US36005012701,2.98118156818,397.864929199,132.621643066,2014-02-15
1400000US36005012901,9.87943896226,714.420288086,142.884057617,2014-02-15
1400000US36005013000,10.3083384122,592.513244629,84.6447492327,2014-02-15
1400000US36005013100,13.2791427556,557.503295898,139.375823975,2014-02-15
1400000US36005013200,28.7686199894,884.803405762,44.2401702881,2014-02-15
1400000US36005013300,6.61703853507,763.713256836,152.742651367,2014-02-15
1400000US36005013500,10.3309050958,601.483276367,150.370819092,2014-02-15
1400000US36005013800,21.601802195,818.854980469,68.2379150391,2014-02-15
1400000US36005014100,10.5723361653,705.952880859,141.190576172,2014-02-15
