"GEOID","LIGHT"
"17031010100",53.0033298069
"17031010201",90.2558865017
"17031010202",94.616800944
"17031010300",76.8224351671
"17031010400",54.0855712891
"17031010501",95.6926269531
"17031010502",105.933105469
"17031010503",102.081886292
"17031010600",100.204842704
"17031010701",92.2399139404
"17031010702",98.0791829427
"17031020100",81.4160698785
"17031020200",74.5820719401
"17031020301",77.8814974698
"17031020302",84.1928575304
"17031020400",85.4436146129
"17031020500",75.1800490159
"17031020601",88.5698075728
"17031020602",80.42090861
"17031020701",91.6954684787
"17031020702",91.0351118608
"17031020801",75.6180087003
"17031020802",93.8567708333
"17031020901",76.8970438639
"17031020902",79.2392654419
"17031030101",53.0076802572
"17031030102",55.4989878337
"17031030103",65.4715805054
"17031030104",68.3760986328
"17031030200",88.3250676935
"17031030300",85.2538706462
"17031030400",82.728729248
"17031030500",93.3570048014
"17031030601",61.2472635905
"17031030603",101.945747375
"17031030604",76.3194834391
"17031030701",103.862556458
"17031030702",93.9119262695
"17031030703",94.5174743652
"17031030706",67.1846435547
"17031030800",97.1092468262
"17031030900",89.0756022135
"17031031000",87.241800944
"17031031100",99.3562011719
"17031031200",101.701522827
"17031031300",43.8380408654
"17031031400",45.395224435
"17031031501",108.140037537
"17031031502",122.953567505
"17031031700",109.34624566
"17031031800",92.1750488281
"17031031900",96.0684407552
"17031032100",101.069091797
"17031040100",65.0616510565
"17031040201",100.025482178
"17031040202",80.2177378337
"17031040300",87.6195179332
"17031040401",98.3920084635
"17031040402",86.8644332886
"17031040600",100.408889771
"17031040700",106.584495544
"17031040800",101.551086426
"17031040900",106.67364502
"17031050100",100.695424398
"17031050200",109.194112142
"17031050300",90.8130764431
"17031050500",103.199089898
"17031050600",105.270121257
"17031050700",87.7383346558
"17031050800",87.6434402466
"17031050900",97.9980392456
"17031051000",100.876937866
"17031051100",92.9868774414
"17031051200",90.564491272
"17031051300",99.1631673177
"17031051400",115.201794434
"17031060100",86.4621734619
"17031060200",95.270304362
"17031060300",102.404978434
"17031060400",98.7195909288
"17031060500",90.5409545898
"17031060800",65.4870431083
"17031060900",62.4711870466
"17031061000",123.44480896
"17031061100",119.388549805
"17031061200",111.968528748
"17031061500",114.962661743
"17031061800",109.813863118
"17031061901",101.740631104
"17031061902",47.6397145589
"17031062000",114.360839844
"17031062100",125.005439758
"17031062200",123.654792786
"17031062300",112.017425537
"17031062400",108.389017741
"17031062500",104.439656576
"17031062600",106.531995985
"17031062700",111.161753337
"17031062800",111.138000488
"17031062900",114.32027181
"17031063000",119.406707764
"17031063100",116.884078979
"17031063200",60.1427968343
"17031063301",105.707748413
"17031063302",89.5009613037
"17031063303",56.3550231934
"17031063400",115.649185181
"17031070101",50.2391289605
"17031070102",96.1478942871
"17031070103",93.7966537476
"17031070200",102.651419503
"17031070300",108.425069173
"17031070400",109.145996094
"17031070500",111.498219808
"17031070600",113.348510742
"17031070700",127.704646184
"17031071000",115.772176107
"17031071100",103.467895508
"17031071200",93.3013839722
"17031071300",93.9165649414
"17031071400",58.1387365005
"17031071500",64.5550008138
"17031071600",104.574737549
"17031071700",116.285324097
"17031071800",106.290181478
"17031080100",125.680308024
"17031080201",145.619445801
"17031080202",181.608444214
"17031080300",164.782226562
"17031080400",160.688720703
"17031081000",226.301269531
"17031081100",229.644002279
"17031081201",231.718948364
"17031081202",102.431239537
"17031081300",176.289428711
"17031081401",162.951797485
"17031081402",70.8973144531
"17031081403",90.8954152074
"17031081500",297.307006836
"17031081600",320.187764486
"17031081700",311.698120117
"17031081800",225.795072115
"17031081900",194.617797852
"17031090100",53.4719682173
"17031090200",68.9022064209
"17031090300",64.2423604329
"17031100100",110.928080241
"17031100200",79.6508427373
"17031100300",96.9220410156
"17031100400",71.4765930176
"17031100500",71.6442605724
"17031100600",110.207329644
