"GEOID","BUILD_COUNT"
"1400000US36005000100",0
"1400000US36005000200",0
"1400000US36005000400",0
"1400000US36005001600",0
"1400000US36005001900",0
"1400000US36005002000",0
"1400000US36005002300",0
"1400000US36005002400",0
"1400000US36005002500",0
"1400000US36005002701",0
"1400000US36005002702",0
"1400000US36005002800",0
"1400000US36005003100",0
"1400000US36005003300",0
"1400000US36005003500",0
"1400000US36005003700",0
"1400000US36005003800",0
"1400000US36005003900",0
"1400000US36005004001",0
"1400000US36005004100",0
"1400000US36005004200",0
"1400000US36005004300",0
"1400000US36005004400",0
"1400000US36005004600",0
"1400000US36005004800",0
"1400000US36005005001",0
"1400000US36005005002",0
"1400000US36005005100",36
"1400000US36005005200",0
"1400000US36005005300",4
"1400000US36005005400",0
"1400000US36005005600",0
"1400000US36005005902",14
"1400000US36005006000",7
"1400000US36005006100",14
"1400000US36005006200",0
"1400000US36005006300",15
"1400000US36005006400",0
"1400000US36005006500",19
"1400000US36005006700",19
"1400000US36005006800",0
"1400000US36005006900",19
"1400000US36005007000",0
"1400000US36005007100",27
"1400000US36005007200",0
"1400000US36005007300",5
"1400000US36005007400",2
"1400000US36005007500",13
"1400000US36005007600",0
"1400000US36005007700",15
"1400000US36005007800",0
"1400000US36005007900",5
"1400000US36005008300",5
"1400000US36005008400",2
"1400000US36005008500",7
"1400000US36005008600",2
"1400000US36005008700",2
"1400000US36005008900",2
"1400000US36005009000",43
"1400000US36005009200",4
"1400000US36005009300",5
"1400000US36005009600",7
"1400000US36005009800",2
"1400000US36005011000",41
"1400000US36005011502",0
"1400000US36005011700",0
"1400000US36005011800",41
"1400000US36005011900",2
"1400000US36005012101",2
"1400000US36005012102",2
"1400000US36005012300",2
"1400000US36005012500",2
"1400000US36005012701",2
"1400000US36005012901",2
"1400000US36005013000",41
"1400000US36005013100",10
"1400000US36005013200",41
"1400000US36005013300",10
"1400000US36005013500",10
"1400000US36005013800",41
"1400000US36005014100",22
"1400000US36005014300",22
"1400000US36005014400",41
"1400000US36005014500",8
"1400000US36005014701",8
"1400000US36005014702",8
"1400000US36005014900",8
"1400000US36005015100",10
"1400000US36005015200",41
"1400000US36005015300",9
"1400000US36005015500",7
"1400000US36005015700",9
"1400000US36005015800",41
"1400000US36005015900",2
"1400000US36005016000",41
"1400000US36005016100",7
"1400000US36005016200",41
"1400000US36005016300",0
"1400000US36005016400",41
"1400000US36005016500",4
"1400000US36005016600",41
"1400000US36005016700",4
"1400000US36005016900",12
"1400000US36005017100",0
"1400000US36005017300",22
"1400000US36005017500",8
"1400000US36005017701",8
"1400000US36005017702",8
"1400000US36005017901",8
"1400000US36005017902",8
"1400000US36005018101",8
"1400000US36005018102",8
"1400000US36005018301",14
"1400000US36005018302",22
"1400000US36005018400",3
"1400000US36005018500",8
"1400000US36005018900",1
"1400000US36005019300",1
"1400000US36005019400",44
"1400000US36005019500",1
"1400000US36005019700",1
"1400000US36005019900",1
"1400000US36005020000",3
"1400000US36005020100",1
"1400000US36005020200",7
"1400000US36005020400",7
"1400000US36005020501",4
"1400000US36005020502",4
"1400000US36005020601",4
"1400000US36005020900",1
"1400000US36005021001",4
"1400000US36005021002",4
"1400000US36005021100",1
"1400000US36005021200",4
"1400000US36005021301",1
"1400000US36005021302",1
"1400000US36005021501",4
"1400000US36005021502",4
"1400000US36005021601",11
"1400000US36005021602",4
"1400000US36005021700",5
"1400000US36005021800",7
"1400000US36005021900",1
"1400000US36005022000",11
"1400000US36005022101",1
"1400000US36005022102",1
"1400000US36005022200",4
"1400000US36005022300",1
"1400000US36005022401",4
"1400000US36005022403",4
"1400000US36005022404",4
"1400000US36005022500",12
"1400000US36005022701",4
"1400000US36005022702",1
"1400000US36005022703",4
"1400000US36005022800",4
"1400000US36005022901",4
"1400000US36005022902",4
"1400000US36005023000",4
"1400000US36005023100",4
"1400000US36005023200",4
"1400000US36005023301",4
"1400000US36005023302",4
"1400000US36005023501",4
"1400000US36005023502",4
"1400000US36005023600",11
"1400000US36005023702",3
"1400000US36005023703",3
"1400000US36005023704",4
"1400000US36005023800",4
"1400000US36005023900",7
"1400000US36005024000",11
"1400000US36005024100",4
"1400000US36005024300",4
"1400000US36005024400",4
"1400000US36005024501",4
"1400000US36005024502",4
"1400000US36005024600",4
"1400000US36005024700",4
"1400000US36005024800",7
"1400000US36005024900",4
"1400000US36005025000",7
"1400000US36005025100",4
"1400000US36005025200",7
"1400000US36005025300",3
"1400000US36005025400",3
"1400000US36005025500",7
"1400000US36005025600",7
"1400000US36005025700",3
"1400000US36005026100",3
"1400000US36005026300",3
"1400000US36005026400",3
"1400000US36005026500",3
"1400000US36005026601",3
"1400000US36005026602",3
"1400000US36005026701",3
"1400000US36005026702",3
"1400000US36005026900",9
"1400000US36005027300",9
"1400000US36005027401",41
"1400000US36005027402",41
"1400000US36005027600",7
"1400000US36005027700",6
"1400000US36005027900",6
"1400000US36005028100",6
"1400000US36005028300",6
"1400000US36005028400",5
"1400000US36005028500",6
"1400000US36005028600",3
"1400000US36005028700",6
"1400000US36005028800",3
"1400000US36005028900",6
"1400000US36005029301",6
"1400000US36005029302",6
"1400000US36005029500",6
"1400000US36005029600",3
"1400000US36005029700",6
"1400000US36005030000",3
"1400000US36005030100",6
"1400000US36005030200",4
"1400000US36005030701",6
"1400000US36005030900",6
"1400000US36005031000",2
"1400000US36005031200",2
"1400000US36005031400",2
"1400000US36005031600",2
"1400000US36005031800",2
"1400000US36005031900",0
"1400000US36005032300",0
"1400000US36005032400",2
"1400000US36005032600",2
"1400000US36005032800",6
"1400000US36005033000",4
"1400000US36005033201",4
"1400000US36005033202",4
"1400000US36005033400",16
"1400000US36005033500",6
"1400000US36005033600",4
"1400000US36005033700",0
"1400000US36005033800",4
"1400000US36005034000",6
"1400000US36005034200",2
"1400000US36005034300",0
"1400000US36005034400",2
"1400000US36005034500",0
"1400000US36005034800",2
"1400000US36005035000",2
"1400000US36005035100",0
"1400000US36005035600",2
"1400000US36005035800",2
"1400000US36005035900",7
"1400000US36005036000",2
"1400000US36005036100",7
"1400000US36005036300",7
"1400000US36005036400",2
"1400000US36005036501",7
"1400000US36005036502",7
"1400000US36005036700",7
"1400000US36005036800",2
"1400000US36005036901",4
"1400000US36005036902",4
"1400000US36005037000",2
"1400000US36005037100",11
"1400000US36005037200",4
"1400000US36005037300",4
"1400000US36005037400",4
"1400000US36005037504",4
"1400000US36005037600",4
"1400000US36005037800",4
"1400000US36005037900",4
"1400000US36005038000",4
"1400000US36005038100",4
"1400000US36005038200",2
"1400000US36005038301",7
"1400000US36005038302",7
"1400000US36005038500",7
"1400000US36005038600",11
"1400000US36005038700",3
"1400000US36005038800",2
"1400000US36005038900",3
"1400000US36005039000",4
"1400000US36005039100",7
"1400000US36005039200",4
"1400000US36005039300",14
"1400000US36005039400",13
"1400000US36005039500",4
"1400000US36005039600",13
"1400000US36005039700",3
"1400000US36005039800",11
"1400000US36005039901",3
"1400000US36005039902",3
"1400000US36005040100",3
"1400000US36005040302",3
"1400000US36005040303",3
"1400000US36005040304",3
"1400000US36005040400",9
"1400000US36005040501",3
"1400000US36005040502",3
"1400000US36005040600",9
"1400000US36005040701",3
"1400000US36005040702",3
"1400000US36005040800",9
"1400000US36005040900",9
"1400000US36005041100",3
"1400000US36005041300",3
"1400000US36005041400",13
"1400000US36005041500",3
"1400000US36005041800",22
"1400000US36005041900",4
"1400000US36005042000",9
"1400000US36005042100",4
"1400000US36005042200",9
"1400000US36005042300",4
"1400000US36005042400",9
"1400000US36005042500",7
"1400000US36005042600",9
"1400000US36005042800",9
"1400000US36005042901",4
"1400000US36005042902",4
"1400000US36005043000",9
"1400000US36005043100",4
"1400000US36005043400",22
"1400000US36005043500",17
"1400000US36005043600",9
"1400000US36005044200",22
"1400000US36005044400",9
"1400000US36005044800",9
"1400000US36005044901",13
"1400000US36005044902",13
"1400000US36005045101",13
"1400000US36005045102",13
"1400000US36005045600",13
"1400000US36005045800",9
"1400000US36005046000",11
"1400000US36005046201",4
"1400000US36005046202",6
"1400000US36005048400",9
"1400000US36005050400",0
"1400000US36005051600",0
"1400000US36047000100",0
"1400000US36047000200",0
"1400000US36047000301",0
"1400000US36047000501",0
"1400000US36047000502",0
"1400000US36047000700",0
"1400000US36047000900",0
"1400000US36047001100",0
"1400000US36047001300",0
"1400000US36047001500",0
"1400000US36047001800",0
"1400000US36047002000",0
