"GEOID","LIGHT"
"1400000US36005000100",52.2644086565
"1400000US36005000200",30.0187842959
"1400000US36005000400",35.3322021484
"1400000US36005001600",75.5892333984
"1400000US36005001900",62.9920772429
"1400000US36005002000",76.3547973633
"1400000US36005002300",100.549639893
"1400000US36005002400",66.600650563
"1400000US36005002500",87.8614501953
"1400000US36005002701",88.5132446289
"1400000US36005002702",84.651163737
"1400000US36005002800",92.5865749783
"1400000US36005003100",83.9921798706
"1400000US36005003300",82.4023376465
"1400000US36005003500",83.3919143677
"1400000US36005003700",84.1636199951
"1400000US36005003800",91.7783966064
"1400000US36005003900",97.6676432292
"1400000US36005004001",77.1564819336
"1400000US36005004100",91.7875366211
"1400000US36005004200",86.0131912231
"1400000US36005004300",91.6734313965
"1400000US36005004400",83.848815918
"1400000US36005004600",93.1349105835
"1400000US36005004800",78.7698669434
"1400000US36005005001",84.8073425293
"1400000US36005005002",76.2988739014
"1400000US36005005100",110.582722982
"1400000US36005005200",75.7673416138
"1400000US36005005300",63.3475799561
"1400000US36005005400",73.482828776
"1400000US36005005600",74.4328308105
"1400000US36005005902",128.744639079
"1400000US36005006000",83.4400363498
"1400000US36005006100",120.551559448
"1400000US36005006200",86.2242919922
"1400000US36005006300",111.84757487
"1400000US36005006400",80.3556416829
"1400000US36005006500",107.042765299
"1400000US36005006700",98.7102457682
"1400000US36005006800",75.9721374512
"1400000US36005006900",103.791381836
"1400000US36005007000",77.8110809326
"1400000US36005007100",91.3065185547
"1400000US36005007200",78.4036483765
"1400000US36005007300",87.2744262695
"1400000US36005007400",81.0375823975
"1400000US36005007500",92.3950093587
"1400000US36005007600",76.3851928711
"1400000US36005007700",91.6496826172
"1400000US36005007800",68.4433506557
"1400000US36005007900",89.9203229632
"1400000US36005008300",86.6945068359
"1400000US36005008400",65.7622299194
"1400000US36005008500",87.8438415527
"1400000US36005008600",86.9658966064
"1400000US36005008700",89.8380859375
"1400000US36005008900",88.7608795166
"1400000US36005009000",53.0588884025
"1400000US36005009200",64.9037126814
"1400000US36005009300",60.1524005269
"1400000US36005009600",62.2962544759
"1400000US36005009800",77.5513805043
"1400000US36005011000",41.6702165275
"1400000US36005011502",93.1613006592
"1400000US36005011700",71.727150657
"1400000US36005011800",20.5474894206
"1400000US36005011900",91.2294387817
"1400000US36005012101",81.799156189
"1400000US36005012102",83.4244384766
"1400000US36005012300",79.0188140869
"1400000US36005012500",83.9640655518
"1400000US36005012701",89.2357584635
"1400000US36005012901",92.4766113281
"1400000US36005013000",53.7116699219
"1400000US36005013100",87.2921066284
"1400000US36005013200",27.8921112061
"1400000US36005013300",93.7809875488
"1400000US36005013500",89.5813751221
"1400000US36005013800",45.4781595866
"1400000US36005014100",94.8063537598
"1400000US36005014300",90.7765197754
"1400000US36005014400",56.6319274902
"1400000US36005014500",90.9158508301
"1400000US36005014701",95.9339111328
"1400000US36005014702",95.7334472656
"1400000US36005014900",90.9585510254
"1400000US36005015100",82.1577697754
"1400000US36005015200",60.1663551331
"1400000US36005015300",74.3086293538
"1400000US36005015500",78.9256591797
"1400000US36005015700",78.6924133301
"1400000US36005015800",57.7194519043
"1400000US36005015900",91.2250137329
"1400000US36005016000",42.4972025553
"1400000US36005016100",84.8232116699
"1400000US36005016200",54.0107543945
"1400000US36005016300",86.1650512695
"1400000US36005016400",53.585534668
"1400000US36005016500",96.3215535482
"1400000US36005016600",56.6787452698
"1400000US36005016700",101.304954529
"1400000US36005016900",99.6740926107
"1400000US36005017100",95.4174804688
"1400000US36005017300",99.3054199219
"1400000US36005017500",84.2983474731
"1400000US36005017701",87.4441375732
"1400000US36005017702",92.6583251953
"1400000US36005017901",84.2832336426
"1400000US36005017902",84.5000152588
"1400000US36005018101",83.5585327148
"1400000US36005018102",91.4568786621
"1400000US36005018301",117.354202271
"1400000US36005018302",103.683227539
"1400000US36005018400",52.8348015679
"1400000US36005018500",90.9593582153
"1400000US36005018900",93.7876993815
"1400000US36005019300",74.5623779297
"1400000US36005019400",55.2039739435
"1400000US36005019500",109.01550293
"1400000US36005019700",86.3258789062
"1400000US36005019900",80.6980712891
"1400000US36005020000",77.5384902954
"1400000US36005020100",77.8879394531
"1400000US36005020200",68.3084411621
"1400000US36005020400",66.7043151855
"1400000US36005020501",74.2077880859
"1400000US36005020502",70.7959442139
"1400000US36005020601",63.0173217773
"1400000US36005020900",88.7864685059
"1400000US36005021001",72.8224365234
"1400000US36005021002",68.2113098145
"1400000US36005021100",81.4759470622
"1400000US36005021200",70.7869506836
"1400000US36005021301",81.8413085938
"1400000US36005021302",84.5967559814
"1400000US36005021501",78.1348775228
"1400000US36005021502",84.2541351318
"1400000US36005021601",78.9555358887
"1400000US36005021602",75.8370819092
"1400000US36005021700",90.4698944092
"1400000US36005021800",81.357195173
"1400000US36005021900",88.3786468506
"1400000US36005022000",66.1417977469
"1400000US36005022101",89.4964599609
"1400000US36005022102",86.2164306641
"1400000US36005022200",66.0025024414
"1400000US36005022300",86.9788589478
"1400000US36005022401",58.2300231934
"1400000US36005022403",68.9271647135
"1400000US36005022404",61.7734909058
"1400000US36005022500",86.9008026123
"1400000US36005022701",91.530166626
"1400000US36005022702",88.4889119466
"1400000US36005022703",89.1623535156
"1400000US36005022800",66.071182251
"1400000US36005022901",93.0720621745
"1400000US36005022902",93.8359069824
"1400000US36005023000",64.9587860107
"1400000US36005023100",93.4751078288
"1400000US36005023200",68.9540405273
"1400000US36005023301",92.7813110352
"1400000US36005023302",93.3489379883
"1400000US36005023501",89.1470336914
"1400000US36005023502",88.609588623
"1400000US36005023600",70.2010091146
"1400000US36005023702",89.8955688477
"1400000US36005023703",87.6792399089
"1400000US36005023704",84.5441741943
"1400000US36005023800",75.455531529
"1400000US36005023900",81.8238372803
"1400000US36005024000",75.9086042132
"1400000US36005024100",90.3082580566
"1400000US36005024300",89.5824707031
"1400000US36005024400",64.5419718424
"1400000US36005024501",82.8236236572
"1400000US36005024502",81.2017974854
"1400000US36005024600",64.4830444336
"1400000US36005024700",72.0412979126
"1400000US36005024800",63.6857910156
"1400000US36005024900",82.4908447266
"1400000US36005025000",57.9052978516
"1400000US36005025100",85.7886230469
"1400000US36005025200",61.2728729248
"1400000US36005025300",79.7557922363
"1400000US36005025400",58.7832946777
"1400000US36005025500",78.8045776367
"1400000US36005025600",69.3722991943
"1400000US36005025700",80.7359531948
"1400000US36005026100",66.6164093018
"1400000US36005026300",71.6962229411
"1400000US36005026400",57.2672958374
"1400000US36005026500",73.3579450335
"1400000US36005026601",76.9356180827
"1400000US36005026602",67.1661580404
"1400000US36005026701",66.7061843872
"1400000US36005026702",66.5581817627
"1400000US36005026900",72.1203545464
"1400000US36005027300",68.2650858561
"1400000US36005027401",47.3744617809
"1400000US36005027402",26.2287772042
"1400000US36005027600",42.1263653791
"1400000US36005027700",64.6391113281
"1400000US36005027900",55.6019541423
"1400000US36005028100",50.1618309021
"1400000US36005028300",65.6085205078
"1400000US36005028400",82.025100708
"1400000US36005028500",59.8693106515
"1400000US36005028600",73.7688903809
"1400000US36005028700",69.5667114258
"1400000US36005028800",57.0831247965
"1400000US36005028900",75.3441314697
"1400000US36005029301",23.15430157
"1400000US36005029302",57.6161024306
"1400000US36005029500",70.2740914481
"1400000US36005029600",69.9826006208
"1400000US36005029700",63.61668396
"1400000US36005030000",67.0371337891
"1400000US36005030100",44.4524637858
"1400000US36005030200",60.8407315341
"1400000US36005030701",43.4203352495
"1400000US36005030900",19.0259501139
"1400000US36005031000",77.9719515714
"1400000US36005031200",55.5921936035
"1400000US36005031400",55.6729980469
"1400000US36005031600",51.0498250326
"1400000US36005031800",53.0353444417
"1400000US36005031900",25.7594299316
"1400000US36005032300",37.2152987393
"1400000US36005032400",72.8542175293
"1400000US36005032600",59.3303702218
"1400000US36005032800",77.1389343262
"1400000US36005033000",76.8649902344
"1400000US36005033201",63.9408531189
"1400000US36005033202",67.1662750244
"1400000US36005033400",54.7966517857
"1400000US36005033500",41.5086808638
"1400000US36005033600",61.8622360229
"1400000US36005033700",40.5979749891
"1400000US36005033800",69.7500610352
"1400000US36005034000",70.5500335693
"1400000US36005034200",67.4326324463
"1400000US36005034300",38.3249320984
"1400000US36005034400",63.330657959
"1400000US36005034500",31.5121409098
"1400000US36005034800",63.029296875
"1400000US36005035000",56.668510437
"1400000US36005035100",39.2158599854
"1400000US36005035600",83.3479537964
"1400000US36005035800",62.303515625
"1400000US36005035900",87.3814331055
"1400000US36005036000",57.0071960449
"1400000US36005036100",67.2252120972
"1400000US36005036300",71.1590401786
"1400000US36005036400",63.7253214518
"1400000US36005036501",75.6126098633
"1400000US36005036502",82.3045603434
"1400000US36005036700",88.7342631022
"1400000US36005036800",67.6827926636
"1400000US36005036901",84.671081543
"1400000US36005036902",84.9539642334
"1400000US36005037000",67.9473342896
"1400000US36005037100",74.6178771973
"1400000US36005037200",68.6953430176
"1400000US36005037300",81.876991272
"1400000US36005037400",66.9487202962
"1400000US36005037504",86.4007742746
"1400000US36005037600",60.438079834
"1400000US36005037800",54.2395080566
"1400000US36005037900",88.7852416992
"1400000US36005038000",66.7279968262
"1400000US36005038100",87.2909851074
"1400000US36005038200",63.8463083903
"1400000US36005038301",87.9409332275
"1400000US36005038302",98.8598815918
"1400000US36005038500",99.6552124023
"1400000US36005038600",64.0240749783
"1400000US36005038700",103.218566895
"1400000US36005038800",58.9922668457
"1400000US36005038900",90.6313705444
"1400000US36005039000",59.0509185791
"1400000US36005039100",79.7713317871
"1400000US36005039200",45.2448654175
"1400000US36005039300",67.3830566406
"1400000US36005039400",40.8164100647
"1400000US36005039500",89.1920689174
"1400000US36005039600",53.6432698568
"1400000US36005039700",81.2758517795
"1400000US36005039800",58.9093200684
"1400000US36005039901",93.7367477417
"1400000US36005039902",104.620826721
"1400000US36005040100",83.4246520996
"1400000US36005040302",82.0986938477
"1400000US36005040303",79.7672271729
"1400000US36005040304",79.2797953288
"1400000US36005040400",59.1547424316
"1400000US36005040501",78.1974868774
"1400000US36005040502",93.0576782227
"1400000US36005040600",54.3505452474
"1400000US36005040701",81.3163248698
"1400000US36005040702",72.697052002
"1400000US36005040800",46.1712982178
"1400000US36005040900",66.6318740845
"1400000US36005041100",72.7510528564
"1400000US36005041300",71.5821838379
"1400000US36005041400",54.9926109314
"1400000US36005041500",69.8972015381
"1400000US36005041800",57.5920511882
"1400000US36005041900",66.3304951986
"1400000US36005042000",55.1714630127
"1400000US36005042100",55.2819213867
"1400000US36005042200",53.5682983398
"1400000US36005042300",60.0423622131
"1400000US36005042400",54.591023763
"1400000US36005042500",58.9528547015
"1400000US36005042600",45.0614895291
"1400000US36005042800",44.6073028564
"1400000US36005042901",55.0217183431
"1400000US36005042902",53.0417989095
"1400000US36005043000",50.6531982422
"1400000US36005043100",46.5680948893
"1400000US36005043400",59.6965698242
"1400000US36005043500",30.615548556
"1400000US36005043600",56.9563842773
"1400000US36005044200",55.2370198568
"1400000US36005044400",51.6400059291
"1400000US36005044800",40.1243095398
"1400000US36005044901",24.547026062
"1400000US36005044902",37.6310297648
"1400000US36005045101",49.1929512024
"1400000US36005045102",50.0221679687
"1400000US36005045600",42.0728817894
"1400000US36005045800",61.1284332275
"1400000US36005046000",64.0315682547
"1400000US36005046201",90.6492004395
"1400000US36005046202",81.0450367647
"1400000US36005048400",65.1414116753
"1400000US36005050400",18.1584259033
"1400000US36005051600",11.7064534505
"1400000US36047000100",66.7639668783
"1400000US36047000200",73.4087905884
"1400000US36047000301",62.8299763997
"1400000US36047000501",79.0431884766
"1400000US36047000502",82.3070983887
"1400000US36047000700",72.9168395996
"1400000US36047000900",90.2457641602
"1400000US36047001100",111.877543132
"1400000US36047001300",106.144816081
"1400000US36047001500",115.950598145
"1400000US36047001800",67.1532076322
"1400000US36047002000",67.5911621094
"1400000US36047002100",74.649854872
"1400000US36047002200",77.3894271851
"1400000US36047002300",107.465380859
"1400000US36047002901",108.022537231
"1400000US36047003000",73.6368774414
"1400000US36047003100",106.98908488
"1400000US36047003300",100.576538086
"1400000US36047003400",52.4863319397
"1400000US36047003500",89.1397705078
"1400000US36047003600",59.823097229
"1400000US36047003700",105.290608724
"1400000US36047003800",49.6386909485
"1400000US36047003900",91.8743438721
"1400000US36047004100",92.2052459717
"1400000US36047004300",101.147850037
"1400000US36047004400",45.0365066528
"1400000US36047004500",82.8231933594
"1400000US36047004600",46.4275580512
"1400000US36047004700",65.7177995954
"1400000US36047004900",72.8427978516
"1400000US36047005000",41.6814117432
"1400000US36047005100",85.7398681641
"1400000US36047005201",38.7070983887
"1400000US36047005202",32.0717697144
"1400000US36047005300",58.2762832642
"1400000US36047005400",45.3923461914
"1400000US36047005601",40.4804077148
"1400000US36047005602",44.7151184082
"1400000US36047005800",54.1887868245
"1400000US36047005900",100.344200134
"1400000US36047006000",57.1817474365
"1400000US36047006200",57.9522755941
"1400000US36047006300",94.253036499
"1400000US36047006400",53.8680114746
"1400000US36047006500",89.5147501628
"1400000US36047006600",56.0064620972
"1400000US36047006700",72.2003173828
"1400000US36047006800",73.1246704102
"1400000US36047006900",79.3710479736
"1400000US36047007000",84.416973877
"1400000US36047007100",84.3658935547
"1400000US36047007200",83.4550170898
"1400000US36047007400",70.2268432617
"1400000US36047007500",77.2073465983
"1400000US36047007600",60.680973053
"1400000US36047007700",94.8308173286
"1400000US36047007800",57.3675918579
"1400000US36047008000",59.1332206726
"1400000US36047008200",86.9865478516
"1400000US36047008400",97.5722757975
"1400000US36047008500",109.105878557
"1400000US36047008600",80.060736084
"1400000US36047008800",90.2127075195
"1400000US36047009000",72.0854568481
"1400000US36047009200",58.1081604004
"1400000US36047009400",49.6046104431
"1400000US36047009600",61.720501709
"1400000US36047009800",45.2473144531
"1400000US36047010000",49.8184089661
"1400000US36047010100",88.9677821568
"1400000US36047010200",57.6542205811
"1400000US36047010400",56.466394043
"1400000US36047010600",44.7634124756
"1400000US36047010800",46.6538848877
"1400000US36047011000",54.5918518066
"1400000US36047011200",63.4154281616
"1400000US36047011400",54.356262207
"1400000US36047011600",53.8309265137
"1400000US36047011700",86.3571014404
"1400000US36047011800",65.108101981
"1400000US36047011900",90.107421875
"1400000US36047012000",67.0880381266
"1400000US36047012100",90.240562439
"1400000US36047012200",77.0308787028
"1400000US36047012600",74.7739432199
"1400000US36047012700",82.4634958903
"1400000US36047012801",66.1618164062
"1400000US36047012901",84.2366256714
"1400000US36047012902",83.2110671997
"1400000US36047013000",67.6185531616
